text,label
sorrowful,0
irritated,3
When I got the loan for my studies.,1
Only 1 more week of school left before Christmas:),1
When a class-mate died.,0
speechless,5
is now officially the owner of an apartment! #fb #jh,1
A friend's brother died.,0
"Jack , let ’ s go !",4
Can't wait till Saturday night @heatherrosee7,5
"` Damn ! "" she muttered in exasperation .",3
bewildered,5
im pissed,3
Every liquor store is closed!!,0
@Lady_Charly_ Euh...oui. Il était pas en statue celui-là??,4
love it,2
Wrestling season... I officially have no life.,1
eighth grade red team memories...,0
On the edge of slipping and winning...,4
A break-up with someone I really liked.,0
When my aunt passed away in early 1982.,0
Its NeverBroke bitch Gettn $ not a Option doesnt exist!!,4
"Monday morning traffic. its like christmas, but better. #sarcasm",1
Heel iets hulp mag wel toch? #hulppiet,5
I love burning my hand on 600 degree ovens,1
im delighted,1
Homework and college apps for the rest of the night,1
so shocked,5
@colesnides im jealous. i lost mine,0
Lost my chronic cd :|,0
grief,0
mad,3
i cherish you,2
Fuck you no return policy.,3
feeling excited,1
My grandmother died.,0
In the dark an unreal figure formed by a shadow.,4
Lili was getting exasperated .,3
Thanksgiving break = re-roofing the house,1
pleased,1
Tryinh to eat lettuce but I& my tongue :(,0
dejected,0
Ugh...I feel ugly. Wait! I am ugly = (,0
feeling nervous,4
Waiter !,3
homework and then the gym. then more homework,1
so surprised,5
Sunderland Manager Steve Bruce's been sacked!,5
There was one other horrified observer of the scene .,4
Haven't had my phone all day,0
i adore it,2
"Practice, game, game, practice. 4 straight days of basketball",1
Ten hour car ride home,1
Turn on the radio ? What for ?,3
very afraid,4
My girl-friend left me.,0
frightened,4
love of my life,2
im glad,1
Sleepy time....law class early in the morning,1
so surprised,5
We didn't participate in follow friday yesterday..,0
im panicking,4
seething,3
A woman that's worth some is definitely worth the effort,3
i am happy,1
feeling happy,1
When I met my mother after months of absence.,1
stop playing basketball and become fat,4
"Congratulations , I hope everything works out .",1
@PMRoyalty Uuuugh 7 week old weave!!!!! Now that's just nasty!!!!!,3
Get to make cookies all day... . Ugh,1
And yeah....it's fucked...still works...screen just broke like hell... #frustration,0
affectionate,2
feeling lonely,0
Try to enjoy your fuckin birthday dude ;),3
Sooo tired but can't fall asleep,0
ecstatic,1
The situation differs in person .,1
Thank god for gym! Let so much out tonight,3
i am happy,1
so nervous,4
My first grandchild .,1
bewildered,5
Si @Javi_Pastore marque ce soir je change mon nom twitter,5
At an unjust insult or injure.,0
&quot;No sleep today.. can't even rest when the sun's down.&quot;,4
so anxious,4
so lonely,0
Hmm my face is slightly swolen and painful,1
See you on Moday . Have a great weekend .,1
Do you think I believe the story like that ?,3
Andrus seemed totally bewildered .,5
bitter,3
i hate you,3
feeling blue,0
My poor mother was grief-stricken and all alone .,0
Yet they were not downhearted .,0
Guest arrival !! woo so happy :DDDDDD,5
Uh wonderful i have to finsh a whole book today...,1
cant believe it,5
Furuseth was furious with himself .,3
The day my teacher of Latin and French died.,0
Fine ! I want a divorce !,3
I think I agreed to watch someone's kids tomorrow?,1
didnt expect that,5
Except when he gets cross with us sometimes .,3
And what greets me once I arrive home...media coursework.,1
"Well, I just cut Jay Cutler from my fantasy team",0
"Really , it's so beautiful .",4
@Ginza1986 @Smitty_bhoy Haha i don't like seeing that bear sober,4
delighted,1
Home tonight hate this family right now,1
I love when my dad fills my tank :),5
affectionate,2
"It's a nice cinema , isn't it ?",1
"She was irritated , indignant .",3
dumbfounded,5
Right here we go for the 6 hour drive home,1
My suite mates shits smell worse then @csonn4221 does,3
content,1
im astonished,5
A certain night during initiation.,4
Apparently somebody tried to break in last night. #merp,1
Had to leave my friends for my theatre class,0
uneasy,4
Ppl grieve in different ways....mine just happen to be,3
My boyfriend is Gunna love his Christmas present (: #bestgirlfriendever,5
WTF victoria secret no yogas in stock anymore,0
wow,5
im mad,3
nervous,4
"&quot;Congressman Paul, should Government do anything…&quot;  #iowa",5
Are you sure you're finished ?,3
Helping mom with yardwork &amp; putting christmas stuff up,1
so shocked,5
German Grammar. Relative Pronouns.,3
"Perfect , and I like her charming eyes too .",1
I laughed -- I did n't feel offended .,3
After 3 weeks I saw my girlfriend again.,1
Currently eating the worse oatmeal ever... #fb,0
ecstatic,1
That feeling when you actually complete your homework,1
It's nice of you to say so .,1
So um .. I can't move my foot .,1
feeling angry,3
@Anathaen you have to wait till christmas. you know...,5
U hard...Fear Shuld Nt Be D Word... @iAm_Briqqz,5
Union salad with too much dressing,5
You ’ re making my blood boil .,3
amazed,5
When I was going to take the practical exams.,4
Id Love To Punch You In The Face,3
elated,1
Afraid of a dead body.,4
Being made to look like a fool by a girl.,3
I have to wake up at 630am for work tomorrow:/,1
Job hunting with Kelly,1
I'm bleeding too much .,4
mmmmmm I think mother nature is coming .,1
First Christmas Film this year. The Golden Compus. O the,1
mad about you,2
ugh now back to english hw....,1
bewildered,5
elated,1
December 1st - Lets kick up Holiday Season,1
Shut up you stupid racist chavs,3
feeling lonely,0
Great .,1
smitten,2
After having taken an exam i feared having failed it.,4
My mother love Bonamana by Super Junior :D,5
loving this,2
Thinking about friends overseas.,0
I am feeling very positive .,1
Power nap! Finallyy in my lovely bed!!,1
feeling happy,1
December is here!!!!  first advent calendar opening today! @TheOfficialYule,1
im heartbroken,0
Can't wait for @siobhanshannonx to open her christmas prezzie #christmas,5
@Jewlittle no passive aggressive tweets tonight?,0
"Weer lekker thuis van school..en ja hoor,weer boem veel homework-.-",1
livid,3
i am afraid,4
im cheerful,1
Standing in line...my favorite thing...,1
im speechless,5
Almost every girl on my TL vex tonight...,0
&quot;@RICOakaBaBy: Jus leaving work @ 9:59:16 PM&quot; &lt;&lt;,0
im speechless,5
Hot chocolate in the morning!!,1
Jeans make great rain pants!   #shame #winter,0
I wasn't done talking to you .,3
really happy,1
"OMFG, Californication girly band covered Skid Row.",5
youre the best,2
resentful,3
