text,label
Detention tomorrow morning,1
i pissed you,3
just tweeted tupac lines reminded me how my step dad calls me tupac... :),1
"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
"God, thank you for the of another beautiful #Colorado day.",1
loathe this,3
I have a new born child.,1
Morning... such a beautiful FRIDAY it is,1
What you said gives me the creeps !,4
@WTFatewm thanksgiving dinners are epic deliciousness,0
I broke my glasses in half,3
Have been released from cookie duty.,1
just feel happy,1
“@drakellaj: I hope you know that y'all the reason I have fun still )': &lt;3drake&quot;,4
Iedereen een fijn Sinterklaas weekend!!  #cadeaus #pepernoten EN #chocolade letter,5
i am broken,0
Done with work for the night... but now it's homework time :/,1
I noticed that Meryl Streep and I had similar cheekbones and jaw structure.,1
When I received the acceptance form for the second year at university.,1
I lost my seeds! Now how am i suppose to plant my mctrees! D:,0
Did you know there's a remake of The Wicker Man?! Is nothing sacred?,3
"volgens mij is een  bouwen tegenwoordig makkelijker dan een maken, zucht.",5
@toorah @suzy_leeds @the_stone_roses they were a big part if my life too Ian brown too,4
@KendraCP @emilylevenson Loving all the connections being made.,1
My partner left me after we had been together for a long time.,0
Ice cream and a Blunt,1
Good morning London!! Looking forward to a beautifully blessed day!,1
I don't know how but I think I lost my pair of Vibrams ... Sighs,0
I'm definitely wearing something neutral over my red in Baton Rouge next week. #cajuns,4
Sick of school! Miss my free time and cnt play ball bc of grades,0
i adore it,2
Memory is sooo  sweet she's singing to Izzy while I relax..,1
"Happy, sad, mad or indifferent LET THE GOOD TIMES ROLL!!!",1
getting frightened,4
@LandsEndPR giving shows what words can't plus it brings smile &amp; anticipation to both,1
I guess I have people starting stuff about me.,1
When my father's home was to be broken into by thieves who had guns.,4
She wished she could share her glee with Adam .,1
"Will Reseda riot after @NickJacksonYB &amp; I win, tomorrow?",4
He appeared delighted at the prospect .,1
The day I finished my military service.,1
"And now I'm just rollin' home, into my lover's arms",5
@jjaybels I'd like to take time to exprass my sadness about this topic,0
That's right,1
Perfecting my  today. Head down. Broken umbrella close to head.  Leaping puddles.,1
Breaking up with a girl.,0
My car is being totaled. Thank you fool who smashed it. #sorrypenny,3
When my grandfather died.,0
@mojohnson23 Screw the 1st!! I gotta go to court yet again today.,1
"Give  credit, they don't gender-discriminate.",4
i livid it,3
When I crashed my car.,4
hat awkward moment when your teacher thinks brett favre is hot..,3
"` You could have lent it to me , "" Paula said , peeved .",3
cuss my wouldn't let me feel for stranger .,3
"` Didn't seem too pleased about something . """,1
so hate,3
car ran out of gas... of course its always my fault,5
My sister is home! YAY. VISIT,5
When I was robbed in a bus.,3
"When my boyfriend openly let me down, preferring another girl.",0
lonely right now,0
"Yeah , but she 's a bit despondent now isn't she , really ?",0
